0.0000000000000E+00,0.0000000000000E+00,0.0000000000000E+00,0.0000000000000E+00,0.0000000000000E+00,0.0000000000000E+00,0.0000000000000E+00
5.9973202403113E-05,3.8071194186105E-05,2.2547506131860E-05,1.3546595638040E-05,6.1905883461422E-06,2.7818000588204E-06,8.1846712034145E-07
1.2000306906271E-04,7.6191797945641E-05,4.5132073901206E-05,2.7119409093229E-05,1.2395818351271E-05,5.5712862287959E-06,1.6396799073310E-06
1.8008965102724E-04,1.1436187302051E-04,6.7753762938042E-05,4.0718490533262E-05,1.8615724480636E-05,8.3684797068371E-06,2.4636475671941E-06
2.4023299938559E-04,1.5258148122314E-04,9.0412632963947E-05,5.4343890219558E-05,2.4850341279825E-05,1.1173401748090E-05,3.2903793369937E-06
3.0043316526705E-04,1.9085068443662E-04,1.1310874379219E-04,6.7995658507426E-05,3.1099703374958E-05,1.3986073666094E-05,4.1198844847345E-06
3.6069019984138E-04,2.2916954461466E-04,1.3584215532786E-04,8.1673845846238E-05,3.7363845472860E-05,1.6806516832943E-05,4.9521723094657E-06
4.2100415431882E-04,2.6753812378176E-04,1.5861292756800E-04,9.5378502779586E-05,4.3642802361259E-05,1.9634752679446E-05,5.7872521413850E-06
4.8137507995013E-04,3.0595648403317E-04,1.8142112060171E-04,1.0910967994546E-04,4.9936608908955E-05,2.2470802695285E-05,6.6251333419427E-06
5.4180302802653E-04,3.4442468753504E-04,2.0426679461029E-04,1.2286742807640E-04,5.6245300066019E-05,2.5314688429173E-05,7.4658253039461E-06
6.0228804987980E-04,3.8294279652444E-04,2.2715000986738E-04,1.3665179799967E-04,6.2568910863968E-05,2.8166431489022E-05,8.3093374516645E-06
6.6283019688233E-04,4.2151087330939E-04,2.5007082673907E-04,1.5046284063746E-04,6.8907476415959E-05,3.1026053542099E-05,9.1556792409342E-06
7.2342952044696E-04,4.6012898026901E-04,2.7302930568399E-04,1.6430060700698E-04,7.5261031916971E-05,3.3893576315187E-05,1.0004860159264E-05
7.8408607202724E-04,4.9879717985350E-04,2.9602550725352E-04,1.7816514822069E-04,8.1629612643992E-05,3.6769021594752E-05,1.0856889725942E-05
8.4479990311727E-04,5.3751553458421E-04,3.1905949209184E-04,1.9205651548645E-04,8.8013253956208E-05,3.9652411227101E-05,1.1711777492139E-05
9.0557106525180E-04,5.7628410705378E-04,3.4213132093611E-04,2.0597476010769E-04,9.4411991295188E-05,4.2543767118549E-05,1.2569533041020E-05
9.6639961000620E-04,6.1510295992610E-04,3.6524105461655E-04,2.1991993348356E-04,1.0082586018508E-04,4.5443111235579E-05,1.3430165987846E-05
1.0272855889965E-03,6.5397215593645E-04,3.8838875405662E-04,2.3389208710913E-04,1.0725489623277E-04,4.8350465605006E-05,1.4293685980083E-05
1.0882290538796E-03,6.9289175789149E-04,4.1157448027309E-04,2.4789127257554E-04,1.1369913512813E-04,5.1265852314146E-05,1.5160102697512E-05
1.1492300563527E-03,7.3186182866941E-04,4.3479829437621E-04,2.6191754157019E-04,1.2015861264415E-04,5.4189293510975E-05,1.6029425852335E-05
1.2102886481541E-03,7.7088243121990E-04,4.5806025756983E-04,2.7597094587686E-04,1.2663336463714E-04,5.7120811404300E-05,1.6901665189281E-05
1.2714048810628E-03,8.0995362856429E-04,4.8136043115151E-04,2.9005153737594E-04,1.3312342704695E-04,6.0060428263917E-05,1.7776830485722E-05
